raceId,driver1_lap1,driver2_lap1,driver3_lap1,driver4_lap1,driver5_lap1,driver6_lap1,driver7_lap1,driver8_lap1,driver9_lap1,driver10_lap1,driver11_lap1,driver12_lap1,driver13_lap1,driver14_lap1,driver15_lap1,driver16_lap1,driver17_lap1,driver18_lap1,driver19_lap1,driver20_lap1,driver21_lap1,driver22_lap1,driver23_lap1,driver24_lap1
224,4,3,5,9,2,1,6,19,12,17,7,18,8,16,11,14,10,15,13,25,25,25,25,25
225,5,13,3,10,1,2,14,9,17,18,4,6,21,7,15,8,19,12,11,16,20,25,25,25
226,2,10,3,4,1,9,8,5,15,21,6,12,14,11,22,7,13,17,19,16,18,20,25,25
227,4,9,13,19,5,1,6,2,14,15,3,7,10,8,17,12,20,11,16,18,25,25,25,25
228,3,8,7,5,2,21,13,1,15,14,6,9,12,11,17,10,16,4,18,19,20,25,25,25
229,4,2,3,1,7,10,6,12,16,11,9,5,15,13,8,14,25,25,25,25,25,25,25,25
230,6,5,2,4,3,1,13,14,11,7,10,8,9,12,15,17,16,25,25,25,25,25,25,25
231,17,4,3,6,1,2,5,10,13,15,9,7,12,8,19,11,20,14,22,16,18,21,25,25
232,16,2,5,1,4,3,7,10,8,9,6,15,12,21,11,13,14,20,18,17,19,25,25,25
233,4,7,2,8,5,1,3,10,16,15,6,9,12,11,19,13,14,17,20,18,25,25,25,25
234,4,7,2,1,3,6,8,5,12,13,9,10,14,11,17,18,15,16,25,25,25,25,25,25
235,1,5,3,6,4,2,7,9,14,19,10,12,8,11,16,15,13,18,17,25,25,25,25,25
236,2,9,7,6,4,1,5,3,12,16,8,14,13,11,10,15,25,25,25,25,25,25,25,25
237,6,8,2,7,1,4,3,5,17,11,12,10,9,13,18,14,15,16,19,20,25,25,25,25
238,3,6,2,5,1,4,8,7,13,16,9,10,11,15,17,14,18,12,20,19,25,25,25,25
239,4,5,2,1,6,3,17,10,12,8,7,11,9,18,13,15,14,16,25,25,25,25,25,25
207,18,1,3,5,6,4,2,9,10,7,16,8,14,15,12,17,11,13,25,25,25,25,25,25
208,7,16,1,13,2,15,5,4,3,8,10,9,6,18,11,17,20,19,21,14,12,25,25,25
209,6,10,1,2,4,9,16,13,8,5,3,18,7,17,11,15,12,14,20,19,25,25,25,25
210,21,14,1,3,2,7,11,19,10,9,4,8,6,18,5,13,16,17,20,12,15,25,25,25
211,13,9,4,1,12,11,14,10,7,3,2,8,20,6,21,16,15,19,17,5,18,25,25,25
