raceId,driver1_lap1,driver1_lap2,driver1_lap3,driver1_lap4,driver1_lap5,driver1_lap6,driver1_lap7,driver1_lap8,driver1_lap9,driver1_lap10,driver2_lap1,driver2_lap2,driver2_lap3,driver2_lap4,driver2_lap5,driver2_lap6,driver2_lap7,driver2_lap8,driver2_lap9,driver2_lap10,driver3_lap1,driver3_lap2,driver3_lap3,driver3_lap4,driver3_lap5,driver3_lap6,driver3_lap7,driver3_lap8,driver3_lap9,driver3_lap10,driver4_lap1,driver4_lap2,driver4_lap3,driver4_lap4,driver4_lap5,driver4_lap6,driver4_lap7,driver4_lap8,driver4_lap9,driver4_lap10,driver5_lap1,driver5_lap2,driver5_lap3,driver5_lap4,driver5_lap5,driver5_lap6,driver5_lap7,driver5_lap8,driver5_lap9,driver5_lap10,driver6_lap1,driver6_lap2,driver6_lap3,driver6_lap4,driver6_lap5,driver6_lap6,driver6_lap7,driver6_lap8,driver6_lap9,driver6_lap10,driver7_lap1,driver7_lap2,driver7_lap3,driver7_lap4,driver7_lap5,driver7_lap6,driver7_lap7,driver7_lap8,driver7_lap9,driver7_lap10,driver8_lap1,driver8_lap2,driver8_lap3,driver8_lap4,driver8_lap5,driver8_lap6,driver8_lap7,driver8_lap8,driver8_lap9,driver8_lap10,driver9_lap1,driver9_lap2,driver9_lap3,driver9_lap4,driver9_lap5,driver9_lap6,driver9_lap7,driver9_lap8,driver9_lap9,driver9_lap10,driver10_lap1,driver10_lap2,driver10_lap3,driver10_lap4,driver10_lap5,driver10_lap6,driver10_lap7,driver10_lap8,driver10_lap9,driver10_lap10,driver11_lap1,driver11_lap2,driver11_lap3,driver11_lap4,driver11_lap5,driver11_lap6,driver11_lap7,driver11_lap8,driver11_lap9,driver11_lap10,driver12_lap1,driver12_lap2,driver12_lap3,driver12_lap4,driver12_lap5,driver12_lap6,driver12_lap7,driver12_lap8,driver12_lap9,driver12_lap10,driver13_lap1,driver13_lap2,driver13_lap3,driver13_lap4,driver13_lap5,driver13_lap6,driver13_lap7,driver13_lap8,driver13_lap9,driver13_lap10,driver14_lap1,driver14_lap2,driver14_lap3,driver14_lap4,driver14_lap5,driver14_lap6,driver14_lap7,driver14_lap8,driver14_lap9,driver14_lap10,driver15_lap1,driver15_lap2,driver15_lap3,driver15_lap4,driver15_lap5,driver15_lap6,driver15_lap7,driver15_lap8,driver15_lap9,driver15_lap10,driver16_lap1,driver16_lap2,driver16_lap3,driver16_lap4,driver16_lap5,driver16_lap6,driver16_lap7,driver16_lap8,driver16_lap9,driver16_lap10,driver17_lap1,driver17_lap2,driver17_lap3,driver17_lap4,driver17_lap5,driver17_lap6,driver17_lap7,driver17_lap8,driver17_lap9,driver17_lap10,driver18_lap1,driver18_lap2,driver18_lap3,driver18_lap4,driver18_lap5,driver18_lap6,driver18_lap7,driver18_lap8,driver18_lap9,driver18_lap10,driver19_lap1,driver19_lap2,driver19_lap3,driver19_lap4,driver19_lap5,driver19_lap6,driver19_lap7,driver19_lap8,driver19_lap9,driver19_lap10,driver20_lap1,driver20_lap2,driver20_lap3,driver20_lap4,driver20_lap5,driver20_lap6,driver20_lap7,driver20_lap8,driver20_lap9,driver20_lap10,driver21_lap1,driver21_lap2,driver21_lap3,driver21_lap4,driver21_lap5,driver21_lap6,driver21_lap7,driver21_lap8,driver21_lap9,driver21_lap10,driver22_lap1,driver22_lap2,driver22_lap3,driver22_lap4,driver22_lap5,driver22_lap6,driver22_lap7,driver22_lap8,driver22_lap9,driver22_lap10,driver23_lap1,driver23_lap2,driver23_lap3,driver23_lap4,driver23_lap5,driver23_lap6,driver23_lap7,driver23_lap8,driver23_lap9,driver23_lap10,driver24_lap1,driver24_lap2,driver24_lap3,driver24_lap4,driver24_lap5,driver24_lap6,driver24_lap7,driver24_lap8,driver24_lap9,driver24_lap10
224,105188,97680,95759,95467,95254,95117,95023,95407,95198,95088,104981,98558,96736,96177,96093,95942,96061,95448,95830,96681,106506,97554,96830,96437,95765,95754,96196,95519,95732,0,109726,99613,98318,97086,97083,96979,97310,96750,96684,96813,104243,97214,96249,95687,95302,94893,95044,95642,94903,94782,103702,97036,95959,95648,95223,95138,95287,95508,94781,94911,108430,99275,98102,97784,97266,97008,96969,96862,96307,96725,116926,101839,100412,99572,100361,99281,99830,99788,98830,98232,111529,99686,99346,97436,97143,97090,97258,97573,98452,97724,116143,101200,98490,98744,102154,98357,97461,97551,98780,99022,109058,99119,98282,97865,97096,97031,97038,96789,96747,96697,116481,0,0,0,0,0,0,0,0,0,109468,99594,99949,97413,97173,96686,97745,97556,98868,97257,114831,100693,99755,98698,108265,99287,98195,99390,98531,98247,110930,99763,99376,97453,96918,97130,97484,97150,98733,97734,113435,100723,98735,98765,98460,97824,98857,98150,97962,97807,110436,99509,99561,97520,97094,96819,97670,97120,96415,95645,114047,100702,99921,98784,103239,101113,100230,102438,161692,113845,112690,100332,99018,98253,98077,98793,100310,99398,98911,99096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,119286,109830,106104,103465,102099,100032,100047,99566,99002,98195,129844,111025,107082,105683,103940,103224,101377,100633,99152,99920,116828,108642,106149,103798,102448,100841,100436,99430,99089,98921,125409,113502,108062,104817,103721,101954,100888,100580,99574,99299,111909,105640,103269,101783,101202,100578,99338,99352,98679,97765,114680,108841,106682,103976,101732,101009,100350,100195,98733,98903,131903,109796,106505,103661,101368,101223,101867,99438,99525,99297,125182,110272,106131,106197,103463,102139,101463,100862,99219,99195,134514,115455,110033,103339,100978,101028,99760,99713,99746,98876,135001,115510,110477,104565,104028,101936,100769,100227,98864,99673,117709,108312,106162,104512,101709,100458,100532,99684,99025,98639,121458,110323,106987,107448,103633,101519,101817,100962,99427,99410,143098,111749,107547,106043,102217,101299,100867,104345,100269,101322,123377,109149,106430,103672,102922,100479,99090,98353,98030,97995,132117,112065,107875,105042,103648,102362,100309,100149,99618,99583,124328,107760,105525,109550,103000,101977,100767,98356,98471,96806,136148,116218,125633,105799,103118,103377,100619,100506,101233,98801,128409,110900,105816,103710,103128,101928,102371,100940,100311,98986,125712,128665,143178,102413,101477,100533,99930,100452,99680,99716,133761,115540,110446,109254,107627,106767,104550,102921,105265,119630,138220,116069,111451,111350,106845,106291,106831,105797,103869,104254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
226,95713,93247,92478,91819,91817,91936,92223,91456,91591,91654,104180,94910,95095,94674,94412,93988,93816,94314,93168,93166,96618,93144,92676,92564,91927,91933,92176,91496,91265,91501,97391,92977,93088,92498,93110,91570,92265,91526,91702,91657,95109,93021,92402,92054,91693,92301,91613,91407,91390,91158,103547,95049,94224,94538,93174,92622,92672,93640,91975,91354,103051,95268,95251,94837,94384,93852,93785,94217,93125,93271,100830,94893,94171,93934,93829,93644,93916,93986,95089,93678,107931,95922,95800,94912,95917,95357,94384,96165,93751,93651,111249,97257,94875,94157,94760,96213,94818,94493,94503,93634,101563,95430,94659,94971,94994,93670,94358,93792,92676,92999,105577,96243,94951,95996,96177,94942,94292,94198,93608,93826,107131,96318,95112,95589,95683,95247,94569,94385,94114,93836,104791,95701,94287,94639,94535,94255,93936,94172,93368,93375,111788,98324,99258,94996,96951,96631,96040,96658,94252,94273,102211,95490,94581,95600,94173,93834,93991,94248,92929,92683,106540,95822,95045,95561,96262,95113,94374,94136,93762,93472,108716,96234,95953,94501,95911,95453,102649,92504,92296,93079,109520,97417,95045,94802,94920,96277,94611,94514,93865,93977,108199,96103,95719,94980,95878,95471,94641,93838,93870,93962,109268,99997,97812,96776,96982,96296,96408,99187,96627,96749,111030,98744,99220,98242,96394,96224,96058,97474,96627,96830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
227,92122,84417,83485,83441,83307,83573,82946,83042,83430,83226,94777,84616,84947,85346,86382,103911,0,0,0,0,96595,0,0,0,0,0,0,0,0,0,102104,144483,82496,82109,82289,82273,82199,82004,82215,82306,92423,84781,83155,83402,83194,82748,82891,83242,83235,83408,90097,83178,82841,82678,82761,82852,82677,82390,82111,82290,93104,84711,83778,83572,83219,83096,82984,82997,82987,83328,90887,83981,83816,83334,83224,82971,83044,83329,83690,82728,97349,84865,84390,84168,85867,99618,0,0,0,0,97840,85905,84373,83932,84936,86542,83973,83901,83720,83858,91587,84222,83645,83511,83100,83183,82807,83273,83359,83320,93825,84746,85356,84073,83695,83624,83437,83496,83543,83515,95452,85377,84652,84349,83828,83596,83469,83272,83632,83225,94437,84569,84315,83500,83078,83248,83113,83245,83005,83216,99257,87149,85651,84801,85005,85696,84900,84996,84770,84913,96417,85024,84432,84275,84003,83651,83503,83360,83434,83387,206980,84746,84050,83787,84310,83687,83779,83857,83971,83763,95965,89794,84820,85221,85377,84242,83854,83554,83410,83525,98623,86132,85461,85239,85543,85956,85059,84622,84998,84542,99650,87738,86196,85460,85328,85288,84816,85090,85179,85540,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
228,99284,91697,91643,91003,90555,90448,90541,90110,90330,90223,105343,93517,92261,92730,91483,91409,91565,91086,90891,91175,104868,92969,92063,91929,91365,91457,91213,91756,91684,91180,102081,92386,91369,90885,91008,90783,90815,90608,90459,90519,99144,93798,91487,90920,90883,91107,90712,90450,90266,90011,177527,92365,90300,90264,90421,90493,90422,90181,89898,90246,108202,94233,93015,92376,92327,91600,91795,91662,91742,91197,98384,92151,91594,90842,90632,90508,90321,90324,90046,90055,109047,95023,92667,92302,92170,91900,91961,92246,91359,90982,108619,94757,92785,92480,91995,91992,91866,91596,91613,91310,103987,92970,92360,91916,91528,91294,91445,91167,91080,90804,105971,93561,92409,92433,91992,91634,91498,91340,91270,91080,107410,94428,93178,92277,91767,91852,91852,91840,91429,91318,107183,94076,92619,92405,91889,92129,91582,91981,91440,91337,110264,95437,94403,93146,93190,92620,93076,92807,92465,92775,106403,93653,92488,92486,91905,91641,91888,91442,91567,91075,109458,94960,93606,92468,92395,92264,91830,91799,91720,91409,101931,94745,92200,91572,91328,91186,90953,91017,90977,90894,110614,95817,94383,93613,93433,93469,92607,93003,92549,92802,110984,95697,94879,93369,93176,93578,92867,92820,92679,92406,111719,95978,94718,93972,93989,93810,93993,93812,93490,93154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
229,123471,116331,114183,113776,113654,113987,112454,111729,111514,111919,120359,112031,113036,111669,111172,109952,109906,109867,109462,109279,122527,112532,112098,111288,111639,111018,110425,109966,114822,0,116036,110246,109608,109603,109430,110420,108752,109036,108377,109315,127787,114275,114005,113969,113395,113694,113349,112009,112149,111409,129943,114883,113772,113697,113520,113544,113509,112469,111849,111689,127317,113786,114235,113794,113172,114258,112863,111476,111671,111712,131654,116057,114180,113464,112369,113814,113303,111503,111693,111994,143785,115496,124479,116412,113469,0,0,0,0,0,131102,115934,114072,113203,112839,113928,114160,112760,111559,112023,129079,114897,113852,113926,113271,113790,113305,112116,112164,111167,126123,113853,114330,113870,113477,114120,112691,111741,111355,111970,139667,119342,118465,0,0,0,0,0,0,0,133301,115722,0,0,0,0,0,0,0,0,128621,114675,113844,113803,113215,114044,113252,112203,112188,110843,135844,116505,118114,115559,115065,116186,115708,115123,115608,114772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
230,120510,113890,113408,112142,110568,109045,111144,111467,109945,110159,119611,0,0,0,0,0,0,0,0,0,115991,112246,112925,111673,112429,112647,112048,111568,112116,110035,118484,114412,113397,113027,115187,112326,111012,111131,110919,109314,117020,112673,113135,120823,112318,112773,112212,125417,111742,110987,114259,112770,112182,112263,112599,112760,112355,111077,111396,109575,137639,120015,117720,116445,115098,115669,114139,113219,113072,112878,148270,0,0,0,0,0,0,0,0,0,130072,118826,120220,118207,115971,114981,114755,113100,114417,113103,122326,116230,112562,114981,115475,112481,111799,111085,110326,109261,128373,117240,116998,116373,112831,123313,112228,111587,110811,110855,123906,117010,125346,114474,114031,113784,112837,110783,110452,110823,126437,116306,117668,113378,113485,112636,111386,111501,110374,109834,131025,118318,113258,113037,112619,113487,111818,111048,110905,109923,165402,119346,117815,116966,117510,117923,115772,115116,0,0,264604,115826,114211,115705,115667,114246,112654,112854,112616,112531,183566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
231,100753,86077,86359,85946,84859,85127,84961,85010,86561,85245,93016,0,0,0,0,0,0,0,0,0,92438,85575,84623,84400,84583,84324,84081,84259,84124,83811,94505,85923,84895,84928,84972,83967,83668,84356,84512,84087,89495,84697,84201,84613,83748,83617,83299,83958,84088,83370,91547,85551,84649,84482,84610,83842,83843,84175,83882,83646,93942,85693,85071,85227,85647,85821,85256,85183,85027,84541,96893,85803,86097,85393,84796,84891,84885,85220,85498,84967,98270,86789,85338,87044,85603,84248,84616,84275,87290,84554,99457,87155,85799,87366,85557,85113,85384,86014,85983,85710,96165,85662,86498,84540,84434,84362,85365,85741,84612,84497,94928,85892,85048,84907,85032,85274,84140,84357,84082,83876,97723,86817,86234,85651,85163,85277,85439,85370,87172,85138,95662,85822,85934,84741,85498,85396,84819,85802,85410,84665,102601,88586,87239,86535,86347,86422,0,0,0,0,97266,86421,85696,86144,85444,85043,84844,85874,86126,86516,103853,88228,86761,87246,86192,85769,0,0,0,0,98548,86775,86139,85773,86013,85258,84827,85116,86853,85012,104047,89366,87138,86774,86602,86753,87790,87269,86850,86154,100421,87762,86968,85913,85512,85490,85156,85850,86199,85778,101733,87487,86803,86611,86627,86376,86199,86484,86603,86602,103858,89239,86975,86744,86830,86386,87853,86555,86628,86369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
232,92543,82183,82268,81824,107126,0,0,0,0,0,83964,79873,79803,79991,79705,79790,80160,80021,80169,80191,86639,81200,80578,80497,80616,80505,80671,80200,80674,80230,82464,79486,79241,79655,79401,79651,79673,79567,79646,79588,85696,80745,80427,80361,80202,80182,80669,80267,80032,80011,85011,80778,80461,80192,80121,80098,80658,80125,79939,79760,87691,81702,81256,81383,81315,81236,80932,80806,80921,81015,89282,82225,81457,81569,81861,81638,81627,81721,81451,81307,88265,81955,81766,81712,81809,81475,80997,81192,81433,81257,88886,82008,81613,81702,81820,81646,81569,81616,81617,81120,87341,81548,81230,81172,80868,81003,81258,80965,80941,81284,92132,83698,82559,82662,82303,82192,82180,82128,82422,82650,90282,82339,82064,81724,81932,82072,82120,81703,82053,81764,95513,84776,84037,82941,83660,82704,82853,82899,82749,82882,89663,82140,81688,81552,81886,81898,81583,81796,81461,81927,91181,82266,82175,81581,82165,81846,82014,82531,81713,81703,91676,82221,82342,81848,82996,81440,81326,82406,82178,81403,94610,84801,83718,83094,82971,83118,82842,82860,83196,83030,93518,83448,0,0,0,0,0,0,0,0,93067,83260,84504,82934,82657,82377,82915,82906,82258,82652,93923,84818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
233,100235,90944,192187,0,0,0,0,0,0,0,102242,92006,91763,91490,92263,0,0,0,0,0,98235,90788,90553,90678,90755,90833,90660,90901,91093,91034,103054,92170,91585,91643,92028,91426,90806,90913,90962,91324,100894,90986,90264,90494,90961,90761,90800,90730,91284,91169,96632,89599,89384,89422,89526,89836,90845,89812,89772,89929,99295,90929,90594,90908,90777,90756,90776,90820,91322,90856,104314,92762,91901,92013,91790,91987,91683,91550,91621,91623,106981,93529,93610,92585,92472,92622,93123,93247,93312,93392,106743,93454,93532,92508,94201,93170,92920,93098,99485,94282,101655,91757,91783,91132,91248,91452,91245,91336,91369,91623,103745,92542,91910,91837,91617,91955,91348,91268,91289,91419,105378,93471,93241,92879,92676,93232,93079,93206,93192,93381,105053,93177,93077,92734,92821,93319,93141,93241,93144,93374,108934,94849,94672,94845,94202,95003,94235,94232,93503,94106,105789,93585,93285,92797,92802,93089,93169,93399,93145,93263,106514,95279,93546,92993,92820,93548,93178,93018,97194,92699,107716,94649,93626,93353,92905,93316,93015,93579,93820,93256,109824,95059,94831,95045,94372,95199,95067,95078,94765,95042,108395,94785,94613,94544,94553,94678,94525,95827,95081,94929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
