copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
1000_0,96520,98634,88777,97181,0,94118,99158,95946,89795,0,97644,98170,0,95438,91753,86705,100248,0,0,92457,87778,93321,90809,94613
1000_2,0,93321,94118,100248,97181,91753,95438,89795,0,96520,95946,0,97644,98170,94613,98634,92457,90809,0,0,86705,87778,88777,99158
1001_1,0,151397,0,171105,159935,162542,156224,153245,154928,152527,168471,164752,0,207671,149572,157550,0,0,0,172517,0,163592,167144,161049
1002_0,126746,117454,130568,115726,0,124247,143966,113393,107025,0,122352,128859,0,119468,120688,110478,116515,0,0,121435,112240,114630,111041,128144
1002_1,0,110478,0,122352,115726,120688,130568,114630,121435,113393,143966,128144,124247,119468,107025,128859,0,0,117454,111041,0,126746,116515,112240
1002_2,0,114630,124247,116515,115726,120688,119468,107025,0,126746,113393,0,122352,128859,128144,117454,121435,111041,0,0,110478,112240,130568,143966
1003_0,169751,167905,144278,171298,0,161729,163605,151724,148568,0,150503,149326,0,152992,166773,143334,158072,0,0,165644,146833,154075,145361,155462
1003_1,0,143334,0,150503,171298,166773,144278,154075,165644,151724,163605,155462,161729,152992,148568,149326,0,0,167905,145361,0,169751,158072,146833
1003_2,0,154075,161729,158072,171298,166773,152992,148568,0,169751,151724,0,150503,149326,155462,167905,165644,145361,0,0,143334,146833,144278,163605
1004_0,114333,106649,102879,107304,0,115199,109037,108369,104094,113321,107890,114891,0,113670,115680,101711,112244,0,0,105923,100335,110022,111135,110656
1004_1,0,101711,0,107890,107304,115680,102879,110022,105923,108369,109037,110656,115199,113670,104094,114891,0,113321,106649,111135,0,114333,112244,100335
1005_0,107455,103921,98979,101973,0,102637,107771,99816,99547,106617,101385,104160,0,105182,100876,94531,106399,0,0,103721,95872,102915,98437,106289
1005_1,0,94531,0,101385,101973,100876,98979,102915,103721,99816,107771,106289,102637,105182,99547,104160,0,106617,103921,98437,0,107455,106399,95872
1005_2,0,102915,102637,106399,101973,100876,105182,99547,0,107455,99816,0,101385,104160,106289,103921,103721,98437,0,106617,94531,95872,98979,107771
