copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
1000_0,25,16,2,13,25,11,15,10,3,25,14,4,25,8,6,1,17,25,25,7,5,9,25,12
1000_2,25,9,11,17,13,6,8,3,25,25,10,25,14,4,12,16,7,25,25,25,1,5,2,15
1001_1,25,2,25,4,9,12,7,6,3,5,11,25,25,25,1,8,25,25,25,15,25,13,14,10
1002_0,12,10,4,6,25,11,15,25,2,25,7,25,25,25,14,1,9,25,25,16,3,8,5,13
1002_1,25,1,25,7,6,14,4,8,16,25,15,13,11,25,2,25,25,25,10,5,25,12,9,3
1002_2,25,8,11,9,6,14,25,2,25,12,25,25,7,25,13,10,16,5,25,25,1,3,4,15
1003_0,12,19,3,14,25,9,11,15,5,25,16,6,25,7,17,1,13,25,25,18,4,8,2,10
1003_1,25,1,25,16,14,17,3,8,18,15,11,10,9,7,5,6,25,25,19,2,25,12,13,4
1003_2,25,8,9,13,14,17,7,5,25,12,15,25,16,6,10,19,18,2,25,25,1,4,3,11
1004_0,16,7,3,9,25,25,13,11,4,18,10,6,25,14,25,1,15,25,25,8,2,17,5,12
1004_1,25,1,25,10,9,25,3,17,8,11,13,12,25,14,4,6,25,18,7,5,25,16,15,2
1005_0,15,25,6,9,25,13,12,8,5,16,7,4,25,14,11,1,17,25,25,25,2,10,3,25
1005_1,25,1,25,7,9,11,6,10,25,8,12,25,13,14,5,4,25,16,25,3,25,15,17,2
1005_2,25,10,13,17,9,11,14,5,25,15,8,25,7,4,25,25,25,3,25,16,1,2,6,12
1006_0,11,25,4,25,25,9,10,25,1,13,8,25,25,25,12,3,14,25,25,25,5,7,2,6
1006_1,25,3,25,8,25,12,4,7,25,25,10,6,9,25,1,25,25,13,25,2,25,11,14,5
1006_2,25,7,9,14,25,12,25,1,25,11,25,25,8,25,6,25,25,2,25,13,3,5,4,10
1007_0,8,7,2,11,25,14,9,16,3,13,25,25,25,25,10,4,12,25,25,15,5,25,1,6
1007_2,25,25,14,12,11,10,25,3,25,8,16,25,25,25,6,7,15,1,25,13,4,5,2,9
1008_0,14,7,6,15,25,11,25,8,3,16,10,4,25,17,13,1,18,25,25,9,5,12,2,25
1008_1,25,1,25,10,15,13,6,12,9,8,25,25,11,17,3,4,25,16,7,2,25,14,18,5
1008_2,25,12,11,18,15,13,17,3,25,14,8,25,10,4,25,7,9,2,25,16,1,5,6,25
1009_0,25,15,2,13,25,7,3,9,25,25,4,5,25,11,12,1,25,25,25,25,10,14,6,8
1009_1,25,1,25,4,13,12,2,14,25,9,3,8,7,11,25,5,25,25,15,6,25,25,25,10
1009_2,25,14,7,25,13,12,11,25,25,25,9,25,4,5,8,15,25,6,25,25,1,10,2,3
100_0,14,25,11,13,25,16,3,9,2,12,25,8,25,10,25,15,25,25,25,6,4,5,1,7
1010_1,25,2,25,13,15,5,4,25,6,25,10,7,12,8,17,25,25,14,16,3,25,9,11,1
1011_0,14,15,5,11,25,6,12,25,16,9,10,25,25,7,3,1,8,25,25,13,2,25,4,25
1011_1,25,1,25,10,11,3,5,25,13,25,12,25,6,7,16,25,25,9,15,4,25,14,8,2
1011_2,25,25,6,8,11,3,7,16,25,14,25,25,10,25,25,15,13,4,25,9,1,2,5,12
1012_0,12,16,3,15,25,18,25,11,17,10,8,7,25,9,5,1,6,25,25,13,2,14,4,25
1012_1,25,1,25,8,15,5,3,14,13,11,25,25,18,9,17,7,25,10,16,4,25,12,6,2
1012_2,25,14,18,6,15,5,9,17,25,12,11,25,8,7,25,16,13,4,25,10,1,2,3,25
1013_0,9,15,3,12,25,8,25,25,16,11,6,25,25,10,5,2,25,25,25,13,1,7,4,14
1013_1,25,2,25,6,12,5,3,7,13,25,25,14,8,10,16,25,25,11,15,4,25,9,25,1
1013_2,25,7,8,25,12,5,10,16,25,9,25,25,6,25,14,15,13,4,25,11,2,1,3,25
1014_0,25,17,4,16,25,25,9,10,18,11,15,12,25,14,5,1,6,25,25,7,2,8,3,13
1014_1,25,1,25,15,16,5,4,8,7,10,9,13,25,14,18,12,25,11,17,3,25,25,6,2
1014_2,25,8,25,6,16,5,14,18,25,25,10,25,15,12,13,17,7,3,25,11,1,2,4,9
1015_0,16,15,2,19,25,11,7,10,18,8,12,9,25,17,25,1,5,25,25,14,3,6,4,13
1015_1,25,1,25,12,19,25,2,6,14,10,7,13,11,17,18,9,25,8,15,4,25,16,5,3
1015_2,25,6,11,5,19,25,17,18,25,16,10,25,12,9,13,15,14,4,25,8,1,3,2,7
1016_0,9,16,2,13,25,25,10,14,18,25,12,6,25,15,3,1,8,25,25,17,4,11,5,7
1016_2,25,11,25,8,13,3,15,18,25,9,14,25,12,6,7,16,17,5,25,25,1,4,2,10
1017_0,13,19,5,16,25,9,14,20,18,15,12,11,25,7,3,1,10,25,25,17,2,6,4,8
1017_1,25,1,25,12,16,3,5,6,17,20,14,8,9,7,18,11,25,15,19,4,25,13,10,2
1018_0,14,18,4,10,25,6,17,16,20,15,11,12,25,9,2,5,7,25,25,19,3,8,1,13
1018_1,25,5,25,11,10,2,4,8,19,16,17,13,6,9,20,12,25,15,18,1,25,14,7,3
1018_2,25,8,6,7,10,2,9,20,25,14,16,25,11,12,13,18,19,1,25,15,5,3,4,17
1019_0,13,14,16,25,25,11,9,25,15,12,17,7,25,8,3,1,4,25,25,25,2,6,5,10
1019_1,25,1,25,17,25,3,16,6,25,25,9,10,11,8,15,7,25,12,14,5,25,13,4,2
1019_2,25,6,11,4,25,3,8,15,25,13,25,25,17,7,10,14,25,5,25,12,1,2,16,9
101_0,10,17,8,7,25,15,12,13,25,16,11,6,25,3,14,25,25,25,25,9,2,5,1,4
101_2,25,5,15,25,7,14,3,25,25,10,13,25,11,6,4,17,9,1,25,16,25,2,8,12
1020_0,4,11,2,13,25,25,3,7,10,6,25,25,25,12,25,9,14,25,25,8,25,5,1,25
1020_1,25,9,25,25,13,25,2,5,8,7,3,25,25,12,10,25,25,6,11,1,25,4,14,25
1020_2,25,5,25,14,13,25,12,10,25,4,7,25,25,25,25,11,8,1,25,6,9,25,2,3
