copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01,driver1_lap_02,driver2_lap_02,driver3_lap_02,driver4_lap_02,driver5_lap_02,driver6_lap_02,driver7_lap_02,driver8_lap_02,driver9_lap_02,driver10_lap_02,driver11_lap_02,driver12_lap_02,driver13_lap_02,driver14_lap_02,driver15_lap_02,driver16_lap_02,driver17_lap_02,driver18_lap_02,driver19_lap_02,driver20_lap_02,driver21_lap_02,driver22_lap_02,driver23_lap_02,driver24_lap_02,driver1_lap_03,driver2_lap_03,driver3_lap_03,driver4_lap_03,driver5_lap_03,driver6_lap_03,driver7_lap_03,driver8_lap_03,driver9_lap_03,driver10_lap_03,driver11_lap_03,driver12_lap_03,driver13_lap_03,driver14_lap_03,driver15_lap_03,driver16_lap_03,driver17_lap_03,driver18_lap_03,driver19_lap_03,driver20_lap_03,driver21_lap_03,driver22_lap_03,driver23_lap_03,driver24_lap_03,driver1_lap_04,driver2_lap_04,driver3_lap_04,driver4_lap_04,driver5_lap_04,driver6_lap_04,driver7_lap_04,driver8_lap_04,driver9_lap_04,driver10_lap_04,driver11_lap_04,driver12_lap_04,driver13_lap_04,driver14_lap_04,driver15_lap_04,driver16_lap_04,driver17_lap_04,driver18_lap_04,driver19_lap_04,driver20_lap_04,driver21_lap_04,driver22_lap_04,driver23_lap_04,driver24_lap_04,driver1_lap_05,driver2_lap_05,driver3_lap_05,driver4_lap_05,driver5_lap_05,driver6_lap_05,driver7_lap_05,driver8_lap_05,driver9_lap_05,driver10_lap_05,driver11_lap_05,driver12_lap_05,driver13_lap_05,driver14_lap_05,driver15_lap_05,driver16_lap_05,driver17_lap_05,driver18_lap_05,driver19_lap_05,driver20_lap_05,driver21_lap_05,driver22_lap_05,driver23_lap_05,driver24_lap_05,driver1_lap_06,driver2_lap_06,driver3_lap_06,driver4_lap_06,driver5_lap_06,driver6_lap_06,driver7_lap_06,driver8_lap_06,driver9_lap_06,driver10_lap_06,driver11_lap_06,driver12_lap_06,driver13_lap_06,driver14_lap_06,driver15_lap_06,driver16_lap_06,driver17_lap_06,driver18_lap_06,driver19_lap_06,driver20_lap_06,driver21_lap_06,driver22_lap_06,driver23_lap_06,driver24_lap_06,driver1_lap_07,driver2_lap_07,driver3_lap_07,driver4_lap_07,driver5_lap_07,driver6_lap_07,driver7_lap_07,driver8_lap_07,driver9_lap_07,driver10_lap_07,driver11_lap_07,driver12_lap_07,driver13_lap_07,driver14_lap_07,driver15_lap_07,driver16_lap_07,driver17_lap_07,driver18_lap_07,driver19_lap_07,driver20_lap_07,driver21_lap_07,driver22_lap_07,driver23_lap_07,driver24_lap_07,driver1_lap_08,driver2_lap_08,driver3_lap_08,driver4_lap_08,driver5_lap_08,driver6_lap_08,driver7_lap_08,driver8_lap_08,driver9_lap_08,driver10_lap_08,driver11_lap_08,driver12_lap_08,driver13_lap_08,driver14_lap_08,driver15_lap_08,driver16_lap_08,driver17_lap_08,driver18_lap_08,driver19_lap_08,driver20_lap_08,driver21_lap_08,driver22_lap_08,driver23_lap_08,driver24_lap_08,driver1_lap_09,driver2_lap_09,driver3_lap_09,driver4_lap_09,driver5_lap_09,driver6_lap_09,driver7_lap_09,driver8_lap_09,driver9_lap_09,driver10_lap_09,driver11_lap_09,driver12_lap_09,driver13_lap_09,driver14_lap_09,driver15_lap_09,driver16_lap_09,driver17_lap_09,driver18_lap_09,driver19_lap_09,driver20_lap_09,driver21_lap_09,driver22_lap_09,driver23_lap_09,driver24_lap_09,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_0,96520,98634,88777,97181,0,94118,99158,95946,89795,0,97644,98170,0,95438,91753,86705,100248,0,0,92457,87778,93321,90809,94613,87599,88016,84222,87796,0,86597,88068,87447,84055,0,87807,87650,0,87359,85662,83184,88049,0,0,86151,83788,86480,84621,86727,86967,87942,83482,87147,0,86332,88125,86907,84161,0,88008,86612,0,86686,85128,82893,87949,0,0,85914,83455,86336,84485,86672,86737,86899,83879,87296,0,86095,86975,86530,83925,0,86969,85779,0,86470,84880,82951,87530,0,0,85505,83869,85863,84159,86393,86708,86795,84041,86650,0,85894,87069,86706,84026,0,86158,86692,0,86905,84742,83643,86809,0,0,85117,84080,85753,83985,85703,98714,98856,89405,98739,0,95270,101139,97709,91093,0,99474,97472,0,97644,92283,87374,99897,0,0,93281,88724,94839,0,96432,90746,89338,94466,90179,0,91136,104012,89544,92887,0,89261,90637,0,91981,93230,96189,87984,0,0,92847,95017,91103,0,90794,86145,87227,83718,86358,0,85391,84823,85011,83161,0,86613,85607,0,85680,83917,83317,86753,0,0,84927,83593,85271,0,85354,85713,86578,84050,85863,0,85132,84921,84949,84189,0,85999,83159,0,86263,83911,83567,86685,0,0,84902,83456,85270,0,84955,86084,86342,83470,86049,0,85193,85161,84581,83663,0,86040,84078,0,86067,83990,83264,86472,0,0,85077,83855,85218,0,85362
1000_2,0,93321,94118,100248,97181,91753,95438,89795,0,96520,95946,0,97644,98170,94613,98634,92457,90809,0,0,86705,87778,88777,99158,0,86480,86597,88049,87796,85662,87359,84055,0,87599,87447,0,87807,87650,86727,88016,86151,84621,0,0,83184,83788,84222,88068,0,86336,86332,87949,87147,85128,86686,84161,0,86967,86907,0,88008,86612,86672,87942,85914,84485,0,0,82893,83455,83482,88125,0,85863,86095,87530,87296,84880,86470,83925,0,86737,86530,0,86969,85779,86393,86899,85505,84159,0,0,82951,83869,83879,86975,0,85753,85894,86809,86650,84742,86905,84026,0,86708,86706,0,86158,86692,85703,86795,85117,83985,0,0,83643,84080,84041,87069,0,94839,95270,99897,98739,92283,97644,91093,0,98714,97709,0,99474,97472,96432,98856,93281,0,0,0,87374,88724,89405,101139,0,91103,91136,87984,90179,93230,91981,92887,0,90746,89544,0,89261,90637,90794,89338,92847,0,0,0,96189,95017,94466,104012,0,85271,85391,86753,86358,83917,85680,83161,0,86145,85011,0,86613,85607,85354,87227,84927,0,0,0,83317,83593,83718,84823,0,85270,85132,86685,85863,83911,86263,84189,0,85713,84949,0,85999,83159,84955,86578,84902,0,0,0,83567,83456,84050,84921,0,85218,85193,86472,86049,83990,86067,83663,0,86084,84581,0,86040,84078,85362,86342,85077,0,0,0,83264,83855,83470,85161
1001_1,0,151397,0,171105,159935,162542,156224,153245,154928,152527,168471,164752,0,207671,149572,157550,0,0,0,172517,0,163592,167144,161049,0,180018,0,180223,179739,179551,180468,180424,180335,179990,178158,524604,0,144008,180051,180342,0,0,0,179683,0,179634,178161,179994,0,170726,0,171296,169094,170082,170008,171130,170364,171075,170661,113818,0,167203,171059,169928,0,0,0,168187,0,169807,170744,170041,0,180659,0,166129,176747,174486,177872,178955,178620,179709,170282,113982,0,169411,181499,177322,0,0,0,168188,0,173848,171434,175129,0,109718,0,113789,113513,113109,113036,111951,112189,111257,114514,112627,0,115376,108656,113366,0,0,0,116000,0,114092,114076,113960,0,109497,0,114223,112869,113601,112184,111736,111619,111088,113367,113142,0,114320,108923,112386,0,0,0,114695,0,113723,115067,113691,0,109020,0,112287,112240,113385,111718,112679,110140,110924,112928,112540,0,122327,108695,112503,0,0,0,115481,0,112748,114865,111231,0,108834,0,113164,112186,112627,111439,111224,109993,110670,113182,111204,0,152947,108646,112057,0,0,0,113370,0,113039,112764,112196,0,109143,0,111763,112421,112140,111473,111016,110445,110760,113535,111677,0,0,109046,112055,0,0,0,112810,0,112224,113028,112210,0,109179,0,111548,111866,112031,111152,111054,108932,111534,113191,110547,0,0,108749,111421,0,0,0,112639,0,111976,112798,111923
1002_0,126746,117454,130568,115726,0,124247,143966,113393,107025,0,122352,128859,0,119468,120688,110478,116515,0,0,121435,112240,114630,111041,128144,138314,137479,137828,137300,0,138357,128119,137281,137567,0,138145,138448,0,137507,137371,135751,138021,0,0,137918,137044,137249,136204,138181,118785,122900,119157,123928,0,120528,116316,125602,129263,0,120366,118235,0,121731,121011,127904,122718,0,0,120736,126167,124452,127530,118295,87761,88099,85442,87876,0,87415,87089,87285,85439,0,87999,86824,0,88817,89166,86009,88269,0,0,96469,86776,87748,86555,87040,89445,87234,86672,86967,0,86579,86981,86163,84871,0,86712,86771,0,87095,87245,85027,87012,0,0,122479,85763,86379,85615,86843,86808,86800,86288,86198,0,86556,86881,86251,84859,0,86526,85598,0,87009,87275,84827,86430,0,0,87155,85538,86288,85475,87977,86851,86539,85975,86151,0,87222,87068,85981,84538,0,88130,86484,0,88291,88096,84751,86346,0,0,87942,84981,86275,85116,87006,87104,86509,87526,86071,0,87467,87066,85982,84631,0,85642,88186,0,87534,87990,84557,86684,0,0,87028,85070,86019,84976,87362,87809,86537,86853,86046,0,89165,87119,85955,84500,0,85514,88696,0,105377,86915,84349,86437,0,0,88106,85163,86265,85145,87891,87347,86261,85463,86076,0,88021,87234,86249,84686,0,85635,85767,0,0,87492,84918,86310,0,0,87163,85176,86272,85040,87166
1002_1,0,110478,0,122352,115726,120688,130568,114630,121435,113393,143966,128144,124247,119468,107025,128859,0,0,117454,111041,0,126746,116515,112240,0,135751,0,138145,137300,137371,137828,137249,137918,137281,128119,138181,138357,137507,137567,138448,0,0,137479,136204,0,138314,138021,137044,0,127904,0,120366,123928,121011,119157,124452,120736,125602,116316,118295,120528,121731,129263,118235,0,0,122900,127530,0,118785,122718,126167,0,86009,0,87999,87876,89166,85442,87748,96469,87285,87089,87040,87415,88817,85439,86824,0,0,88099,86555,0,87761,88269,86776,0,85027,0,86712,86967,87245,86672,86379,122479,86163,86981,86843,86579,87095,84871,86771,0,0,87234,85615,0,89445,87012,85763,0,84827,0,86526,86198,87275,86288,86288,87155,86251,86881,87977,86556,87009,84859,85598,0,0,86800,85475,0,86808,86430,85538,0,84751,0,88130,86151,88096,85975,86275,87942,85981,87068,87006,87222,88291,84538,86484,0,0,86539,85116,0,86851,86346,84981,0,84557,0,85642,86071,87990,87526,86019,87028,85982,87066,87362,87467,87534,84631,88186,0,0,86509,84976,0,87104,86684,85070,0,84349,0,85514,86046,86915,86853,86265,88106,85955,87119,87891,89165,105377,84500,88696,0,0,86537,85145,0,87809,86437,85163,0,84918,0,85635,86076,87492,85463,86272,87163,86249,87234,87166,88021,0,84686,85767,0,0,86261,85040,0,87347,86310,85176
1002_2,0,114630,124247,116515,115726,120688,119468,107025,0,126746,113393,0,122352,128859,128144,117454,121435,111041,0,0,110478,112240,130568,143966,0,137249,138357,138021,137300,137371,137507,137567,0,138314,137281,0,138145,138448,138181,137479,137918,136204,0,0,135751,137044,137828,128119,0,124452,120528,122718,123928,121011,121731,129263,0,118785,125602,0,120366,118235,118295,122900,120736,127530,0,0,127904,126167,119157,116316,0,87748,87415,88269,87876,89166,88817,85439,0,87761,87285,0,87999,86824,87040,88099,96469,86555,0,0,86009,86776,85442,87089,0,86379,86579,87012,86967,87245,87095,84871,0,89445,86163,0,86712,86771,86843,87234,122479,85615,0,0,85027,85763,86672,86981,0,86288,86556,86430,86198,87275,87009,84859,0,86808,86251,0,86526,85598,87977,86800,87155,85475,0,0,84827,85538,86288,86881,0,86275,87222,86346,86151,88096,88291,84538,0,86851,85981,0,88130,86484,87006,86539,87942,85116,0,0,84751,84981,85975,87068,0,86019,87467,86684,86071,87990,87534,84631,0,87104,85982,0,85642,88186,87362,86509,87028,84976,0,0,84557,85070,87526,87066,0,86265,89165,86437,86046,86915,105377,84500,0,87809,85955,0,85514,88696,87891,86537,88106,85145,0,0,84349,85163,86853,87119,0,86272,88021,86310,86076,87492,0,84686,0,87347,86249,0,85635,85767,87166,86261,87163,85040,0,0,84918,85176,85463,87234
1003_0,169751,167905,144278,171298,0,161729,163605,151724,148568,0,150503,149326,0,152992,166773,143334,158072,0,0,165644,146833,154075,145361,155462,164799,165374,168264,164852,0,165443,164965,167454,167593,0,167349,167786,0,167277,165293,166810,167217,0,0,163962,168394,167777,168840,167216,162133,169650,159086,163136,0,160338,162208,160465,159219,0,160590,160668,0,161091,161654,159186,161204,0,0,162436,158916,160589,158146,162071,149971,144950,163639,147976,0,156109,153403,160919,161933,0,161245,160397,0,159852,152023,165079,156721,0,0,152703,162536,159630,163709,157963,111556,111949,108305,111767,0,111484,111588,109355,108817,0,108673,109039,0,110255,111553,108052,111186,0,0,111813,108477,110637,108360,111024,111187,111332,108471,111380,0,111002,110943,109120,108816,0,108963,108804,0,109733,111150,108563,110994,0,0,110974,108699,110337,108359,110904,110543,111603,107397,111065,0,110030,110033,108934,107999,0,108388,108095,0,109194,110199,107519,110018,0,0,110318,107909,109504,107717,110054,110103,111133,107258,110309,0,109733,109884,108623,107736,0,107968,108223,0,108811,109755,106746,109401,0,0,110004,107399,109200,107186,109173,110030,110045,107427,110277,0,109371,109574,109220,107375,0,108002,107778,0,108743,110273,107592,109377,0,0,109933,107307,108924,107348,109188,109710,110146,107627,110058,0,109383,110085,109010,107479,0,108145,107826,0,108997,109616,107557,109143,0,0,109966,107814,108878,107706,109159
1003_1,0,143334,0,150503,171298,166773,144278,154075,165644,151724,163605,155462,161729,152992,148568,149326,0,0,167905,145361,0,169751,158072,146833,0,166810,0,167349,164852,165293,168264,167777,163962,167454,164965,167216,165443,167277,167593,167786,0,0,165374,168840,0,164799,167217,168394,0,159186,0,160590,163136,161654,159086,160589,162436,160465,162208,162071,160338,161091,159219,160668,0,0,169650,158146,0,162133,161204,158916,0,165079,0,161245,147976,152023,163639,159630,152703,160919,153403,157963,156109,159852,161933,160397,0,0,144950,163709,0,149971,156721,162536,0,108052,0,108673,111767,111553,108305,110637,111813,109355,111588,111024,111484,110255,108817,109039,0,0,111949,108360,0,111556,111186,108477,0,108563,0,108963,111380,111150,108471,110337,110974,109120,110943,110904,111002,109733,108816,108804,0,0,111332,108359,0,111187,110994,108699,0,107519,0,108388,111065,110199,107397,109504,110318,108934,110033,110054,110030,109194,107999,108095,0,0,111603,107717,0,110543,110018,107909,0,106746,0,107968,110309,109755,107258,109200,110004,108623,109884,109173,109733,108811,107736,108223,0,0,111133,107186,0,110103,109401,107399,0,107592,0,108002,110277,110273,107427,108924,109933,109220,109574,109188,109371,108743,107375,107778,0,0,110045,107348,0,110030,109377,107307,0,107557,0,108145,110058,109616,107627,108878,109966,109010,110085,109159,109383,108997,107479,107826,0,0,110146,107706,0,109710,109143,107814
1003_2,0,154075,161729,158072,171298,166773,152992,148568,0,169751,151724,0,150503,149326,155462,167905,165644,145361,0,0,143334,146833,144278,163605,0,167777,165443,167217,164852,165293,167277,167593,0,164799,167454,0,167349,167786,167216,165374,163962,168840,0,0,166810,168394,168264,164965,0,160589,160338,161204,163136,161654,161091,159219,0,162133,160465,0,160590,160668,162071,169650,162436,158146,0,0,159186,158916,159086,162208,0,159630,156109,156721,147976,152023,159852,161933,0,149971,160919,0,161245,160397,157963,144950,152703,163709,0,0,165079,162536,163639,153403,0,110637,111484,111186,111767,111553,110255,108817,0,111556,109355,0,108673,109039,111024,111949,111813,108360,0,0,108052,108477,108305,111588,0,110337,111002,110994,111380,111150,109733,108816,0,111187,109120,0,108963,108804,110904,111332,110974,108359,0,0,108563,108699,108471,110943,0,109504,110030,110018,111065,110199,109194,107999,0,110543,108934,0,108388,108095,110054,111603,110318,107717,0,0,107519,107909,107397,110033,0,109200,109733,109401,110309,109755,108811,107736,0,110103,108623,0,107968,108223,109173,111133,110004,107186,0,0,106746,107399,107258,109884,0,108924,109371,109377,110277,110273,108743,107375,0,110030,109220,0,108002,107778,109188,110045,109933,107348,0,0,107592,107307,107427,109574,0,108878,109383,109143,110058,109616,108997,107479,0,109710,109010,0,108145,107826,109159,110146,109966,107706,0,0,107557,107814,107627,110085
1004_0,114333,106649,102879,107304,0,115199,109037,108369,104094,113321,107890,114891,0,113670,115680,101711,112244,0,0,105923,100335,110022,111135,110656,105885,102210,100317,103928,0,105852,104518,104614,100972,104593,104146,103473,0,105694,105883,100132,104323,0,0,104252,100109,104804,102825,104783,104493,101845,100119,102179,0,108294,103938,103912,100357,105160,102362,101298,0,104562,104071,99916,104741,0,0,101658,99849,103522,101713,103588,104659,101777,100122,102458,0,172468,102663,102659,100210,104247,103494,102514,0,104369,135482,99770,104505,0,0,102183,99941,103098,101156,104085,104620,101502,100096,103066,0,0,103039,102889,100244,104576,102552,102594,0,109256,0,100126,104786,0,0,102540,100009,104666,100795,103570,104525,102553,100005,102529,0,0,102653,102777,100148,105775,102657,102105,0,122090,0,99744,106054,0,0,104028,99517,104703,101017,102089,105241,102789,100035,102894,0,0,103764,103871,100009,108276,102987,103127,0,101819,0,99656,112775,0,0,102790,99924,103279,101160,102841,106392,103187,99546,102832,0,0,103465,112436,100246,107737,102700,103587,0,102533,0,99829,121404,0,0,103070,99962,103521,99598,104199,105428,102204,99907,103290,0,0,104748,122300,100252,107205,102712,100984,0,102311,0,100226,101984,0,0,107526,100416,103237,100384,102549,105271,105660,100349,104816,0,0,104273,102215,100243,111949,101509,100773,0,102555,0,100349,102409,0,0,119929,100085,103064,100010,101645
