copy_id,driver1_coef,driver2_coef,driver3_coef,driver4_coef,driver5_coef,driver6_coef,driver7_coef,driver8_coef,driver9_coef,driver10_coef,driver11_coef,driver12_coef,driver13_coef,driver14_coef,driver15_coef,driver16_coef,driver17_coef,driver18_coef,driver19_coef,driver20_coef,driver21_coef,driver22_coef,driver23_coef,driver24_coef,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_0,10.027317500522148,18.675979068628152,5.949614274396139,11.77524563433362,18.675979068628152,15.487415685050484,14.583306589348194,11.730605777899466,6.919267466526158,18.675979068628152,8.795379550385844,8.990510738773082,18.675979068628152,6.863627615159878,13.993088651146431,4.092726599204289,10.548045463965767,18.675979068628152,18.675979068628152,13.030428965422828,7.391607172517768,12.730064708179247,8.374030007845443,10.579726257276144,14,25,3,17,25,16,18,10,4,25,15,11,25,12,8,1,5,25,25,6,2,13,7,9
1000_1,18.675979068628152,4.092726599204289,18.675979068628152,8.795379550385844,11.77524563433362,13.993088651146431,5.949614274396139,12.730064708179247,13.030428965422828,11.730605777899466,14.583306589348194,10.579726257276144,15.487415685050484,6.863627615159878,6.919267466526158,8.990510738773082,18.675979068628152,18.675979068628152,18.675979068628152,8.374030007845443,18.675979068628152,10.027317500522148,10.548045463965767,7.391607172517768,25,1,25,15,17,8,3,13,6,10,18,9,16,12,4,11,25,25,25,7,25,14,5,2
1000_2,18.675979068628152,12.730064708179247,15.487415685050484,10.548045463965767,11.77524563433362,13.993088651146431,6.863627615159878,6.919267466526158,18.675979068628152,10.027317500522148,11.730605777899466,18.675979068628152,8.795379550385844,8.990510738773082,10.579726257276144,18.675979068628152,13.030428965422828,8.374030007845443,18.675979068628152,18.675979068628152,4.092726599204289,7.391607172517768,5.949614274396139,14.583306589348194,25,13,16,5,17,8,12,4,25,14,10,25,15,11,9,25,6,7,25,25,1,2,3,18
1001_1,18.989850124466056,4.092726599204289,18.989850124466056,13.030428965422828,13.993088651146431,18.989850124466056,8.795379550385844,11.77524563433362,8.374030007845443,8.990510738773082,12.730064708179247,7.391607172517768,18.989850124466056,5.949614274396139,11.730605777899466,14.583306589348194,18.989850124466056,18.989850124466056,18.989850124466056,10.027317500522148,18.989850124466056,10.548045463965767,15.487415685050484,4.443479686368393,25,2,25,7,14,25,4,11,13,16,15,12,25,1,6,9,25,25,25,5,25,8,10,3
1002_1,18.793779419106578,4.092726599204289,18.793779419106578,8.990510738773082,11.77524563433362,6.655736056444178,11.730605777899466,12.730064708179247,14.583306589348194,10.579726257276144,4.443479686368393,8.795379550385844,15.487415685050484,6.919267466526158,5.949614274396139,7.391607172517768,18.793779419106578,18.793779419106578,18.793779419106578,8.374030007845443,18.793779419106578,10.027317500522148,10.548045463965767,13.030428965422828,25,2,25,13,8,14,5,16,17,15,3,10,9,1,11,4,25,25,25,6,25,7,12,18
1002_2,18.793779419106578,12.730064708179247,15.487415685050484,10.548045463965767,11.77524563433362,6.655736056444178,6.919267466526158,5.949614274396139,18.793779419106578,10.027317500522148,10.579726257276144,18.793779419106578,8.990510738773082,7.391607172517768,8.795379550385844,18.793779419106578,14.583306589348194,8.374030007845443,18.793779419106578,18.793779419106578,4.092726599204289,13.030428965422828,11.730605777899466,4.443479686368393,25,16,9,12,8,14,1,11,25,7,15,25,13,4,10,25,17,6,25,25,2,18,5,3
1003_0,12.730064708179247,15.487415685050484,5.949614274396139,11.77524563433362,18.92302116809205,6.655736056444178,14.583306589348194,11.730605777899466,6.919267466526158,18.92302116809205,8.795379550385844,8.990510738773082,18.92302116809205,6.863627615159878,13.993088651146431,4.092726599204289,10.548045463965767,18.92302116809205,18.92302116809205,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11
1003_1,18.92302116809205,4.092726599204289,18.92302116809205,8.795379550385844,11.77524563433362,13.993088651146431,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,14.583306589348194,10.579726257276144,6.655736056444178,6.863627615159878,6.919267466526158,8.990510738773082,18.92302116809205,18.92302116809205,15.487415685050484,4.443479686368393,18.92302116809205,12.730064708179247,10.548045463965767,7.391607172517768,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4
1004_0,12.730064708179247,18.842786793621222,5.949614274396139,10.027317500522148,18.842786793621222,15.487415685050484,14.583306589348194,11.730605777899466,6.919267466526158,18.842786793621222,8.795379550385844,8.990510738773082,18.842786793621222,6.863627615159878,6.655736056444178,4.092726599204289,11.77524563433362,18.842786793621222,18.842786793621222,13.030428965422828,7.391607172517768,8.374030007845443,4.443479686368393,10.579726257276144,14,25,3,8,25,17,11,15,4,25,7,9,25,16,6,2,18,25,25,13,1,12,5,10
1004_1,18.842786793621222,4.092726599204289,18.842786793621222,8.795379550385844,10.027317500522148,6.655736056444178,5.949614274396139,8.374030007845443,13.030428965422828,11.730605777899466,14.583306589348194,10.579726257276144,15.487415685050484,6.863627615159878,6.919267466526158,8.990510738773082,18.842786793621222,18.842786793621222,18.842786793621222,4.443479686368393,18.842786793621222,12.730064708179247,11.77524563433362,7.391607172517768,25,2,25,7,8,6,3,12,13,15,11,10,17,16,4,9,25,25,25,5,25,14,18,1
