copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01
1000_0,13,17,3,14,25,9,18,12,4,25,15,16,25,11,6,1,19,25,25,7,2,8,5,10
1000_2,25,8,9,19,14,6,11,4,25,13,12,25,15,16,10,17,7,5,25,25,1,2,3,18
1001_1,25,2,25,15,8,10,6,4,5,3,14,12,25,17,1,7,25,25,25,16,25,11,13,9
1002_0,15,9,18,7,25,14,19,5,1,25,13,17,25,10,11,2,8,25,25,12,4,6,3,16
1002_1,25,2,25,13,7,11,18,6,12,5,19,16,14,10,1,17,25,25,9,3,25,15,8,4
1002_2,25,6,14,8,7,11,10,1,25,15,5,25,13,17,16,9,12,3,25,25,2,4,18,19
1003_0,18,17,2,19,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11
1003_1,25,1,25,7,19,16,2,10,15,8,14,11,13,9,5,6,25,25,17,3,25,18,12,4
1003_2,25,10,13,12,19,16,9,5,25,18,8,25,7,6,11,17,15,3,25,25,1,4,2,14
1004_0,17,6,3,7,25,19,10,9,4,15,8,18,25,16,20,2,14,25,25,5,1,11,13,12
1004_1,25,2,25,8,7,20,3,11,5,9,10,12,19,16,4,18,25,15,6,13,25,17,14,1
1005_0,19,13,4,9,25,10,20,6,5,18,8,14,25,15,7,1,17,25,25,12,2,11,3,16
1005_1,25,1,25,8,9,7,4,11,12,6,20,16,10,15,5,14,25,18,13,3,25,19,17,2
1005_2,25,11,10,17,9,7,15,5,25,19,6,25,8,14,16,13,12,3,25,18,1,2,4,20
1006_0,13,17,15,7,25,12,16,19,1,11,8,4,25,20,14,2,18,25,25,10,3,6,9,5
1006_1,25,2,25,8,7,14,15,6,10,19,16,5,12,20,1,4,25,11,17,9,25,13,18,3
1006_2,25,6,12,18,7,14,20,1,25,13,19,25,8,4,5,17,10,9,25,11,2,3,15,16
1007_0,19,9,4,16,25,20,10,18,7,15,11,3,25,12,17,2,13,25,25,14,5,6,1,8
1007_2,25,6,20,13,16,17,12,7,25,19,18,25,11,3,8,9,14,1,25,15,2,5,4,10
1008_0,20,6,3,19,25,16,9,7,4,17,12,10,25,15,8,1,18,25,25,11,2,13,5,14
1008_1,25,1,25,12,19,8,3,13,11,7,9,14,16,15,4,10,25,17,6,5,25,20,18,2
1008_2,25,13,16,18,19,8,15,4,25,20,7,25,12,10,14,6,11,5,25,17,1,2,3,9
1009_0,8,18,3,15,25,5,9,7,4,25,6,2,25,14,19,1,13,25,25,12,16,17,11,10
1009_1,25,1,25,6,15,19,3,17,12,7,9,10,5,14,4,2,25,25,18,11,25,8,13,16
1009_2,25,17,5,13,15,19,14,4,25,8,7,25,6,2,10,18,12,11,25,25,1,16,3,9
100_0,15,20,7,12,25,19,2,10,1,11,5,9,25,14,13,16,18,25,25,17,3,8,4,6
1010_1,25,2,25,12,16,5,3,14,6,7,15,8,10,9,19,20,25,11,18,4,25,13,17,1
1011_0,19,18,1,15,25,14,16,20,17,13,10,9,25,8,3,4,12,25,25,7,2,6,5,11
1011_1,25,4,25,10,15,3,1,6,7,20,16,11,14,8,17,9,25,13,18,5,25,19,12,2
1011_2,25,6,14,12,15,3,8,17,25,19,20,25,10,9,11,18,7,5,25,13,4,2,1,16
1012_0,13,15,4,14,25,20,17,10,16,18,8,7,25,12,3,1,6,25,25,11,2,19,5,9
1012_1,25,1,25,8,14,3,4,19,11,10,17,9,20,12,16,7,25,18,15,5,25,13,6,2
1012_2,25,19,20,6,14,3,12,16,25,13,10,25,8,7,9,15,11,5,25,18,1,2,4,17
1013_0,11,18,3,15,25,6,7,16,20,12,4,9,25,17,10,2,19,25,25,13,1,8,5,14
