copy_id,driver1_y,driver2_y,driver3_y,driver4_y,driver5_y,driver6_y,driver7_y,driver8_y,driver9_y,driver10_y,driver11_y,driver12_y,driver13_y,driver14_y,driver15_y,driver16_y,driver17_y,driver18_y,driver19_y,driver20_y,driver21_y,driver22_y,driver23_y,driver24_y
1000_0,25,16,2,13,25,11,15,10,3,25,14,4,25,8,6,1,17,25,25,7,5,9,25,12
1002_0,12,10,4,6,25,11,15,25,2,25,7,25,25,25,14,1,9,25,25,16,3,8,5,13
1003_0,12,19,3,14,25,9,11,15,5,25,16,6,25,7,17,1,13,25,25,18,4,8,2,10
1004_0,16,7,3,9,25,25,13,11,4,18,10,6,25,14,25,1,15,25,25,8,2,17,5,12
1005_0,15,25,6,9,25,13,12,8,5,16,7,4,25,14,11,1,17,25,25,25,2,10,3,25
1007_0,8,7,2,11,25,14,9,16,3,13,25,25,25,25,10,4,12,25,25,15,5,25,1,6
1008_0,14,7,6,15,25,11,25,8,3,16,10,4,25,17,13,1,18,25,25,9,5,12,2,25
1009_0,25,15,2,13,25,7,3,9,25,25,4,5,25,11,12,1,25,25,25,25,10,14,6,8
100_0,14,25,11,13,25,16,3,9,2,12,25,8,25,10,25,15,25,25,25,6,4,5,1,7
1010_0,9,16,4,15,25,12,10,25,17,14,13,25,25,8,5,2,11,25,25,6,1,25,3,7
1011_0,14,15,5,11,25,6,12,25,16,9,10,25,25,7,3,1,8,25,25,13,2,25,4,25
1012_0,12,16,3,15,25,18,25,11,17,10,8,7,25,9,5,1,6,25,25,13,2,14,4,25
1013_0,9,15,3,12,25,8,25,25,16,11,6,25,25,10,5,2,25,25,25,13,1,7,4,14
1014_0,25,17,4,16,25,25,9,10,18,11,15,12,25,14,5,1,6,25,25,7,2,8,3,13
1015_0,16,15,2,19,25,11,7,10,18,8,12,9,25,17,25,1,5,25,25,14,3,6,4,13
1016_0,9,16,2,13,25,25,10,14,18,25,12,6,25,15,3,1,8,25,25,17,4,11,5,7
1018_0,14,18,4,10,25,6,17,16,20,15,11,12,25,9,2,5,7,25,25,19,3,8,1,13
1019_0,13,14,16,25,25,11,9,25,15,12,17,7,25,8,3,1,4,25,25,25,2,6,5,10
101_0,10,17,8,7,25,15,12,13,25,16,11,6,25,3,14,25,25,25,25,9,2,5,1,4
1020_0,13,6,2,14,25,11,1,7,10,25,25,25,25,12,25,9,25,25,25,3,8,4,5,25
1021_0,17,16,3,18,25,9,15,25,19,10,11,14,25,7,4,1,6,25,25,13,8,5,2,12
1022_0,9,25,4,1,25,5,7,13,17,25,6,14,25,16,15,2,11,25,25,12,3,18,10,8
1025_0,15,5,25,14,25,25,4,10,25,25,25,2,25,13,8,1,3,25,25,12,9,11,6,7
1026_0,9,16,2,14,25,11,10,13,17,4,8,25,25,12,6,3,7,25,25,15,1,5,25,25
1027_0,12,16,2,14,25,25,11,17,18,5,7,8,25,25,4,1,9,25,25,15,3,13,6,10
1029_0,19,12,17,5,25,8,10,13,16,14,9,6,25,4,18,7,2,25,25,11,25,3,1,15
102_0,13,14,6,25,25,25,2,25,25,15,25,10,25,3,11,12,7,25,25,8,5,4,1,9
1030_0,25,17,5,16,25,8,9,15,19,6,7,11,25,13,3,1,18,25,25,14,4,10,2,12
1031_0,9,13,25,7,25,25,5,6,10,11,1,25,25,25,3,4,2,25,25,25,12,25,8,25
1032_0,15,17,6,25,25,4,25,8,13,25,12,10,25,11,16,1,5,25,25,9,3,14,7,2
1033_0,17,5,16,25,25,18,9,7,6,19,3,10,25,15,13,1,11,25,25,2,12,4,14,8
1034_0,3,25,16,5,25,15,9,4,10,25,25,2,25,17,8,1,12,25,25,6,13,7,14,11
1035_0,17,5,16,11,25,18,13,7,12,19,3,25,25,15,9,2,4,25,25,1,10,6,8,14
1036_0,16,8,19,9,25,17,6,5,7,18,3,15,25,14,10,1,25,25,25,2,12,4,13,11
1037_0,8,16,15,14,25,6,5,10,13,25,2,17,25,12,25,1,7,25,25,3,11,25,9,4
1038_0,16,15,12,1,25,14,2,10,25,11,5,25,25,13,4,7,25,25,25,25,9,3,8,6
1039_0,8,25,12,6,25,25,25,5,10,25,2,25,25,9,3,1,11,25,25,25,7,25,25,4
103_0,25,25,4,8,25,25,25,7,1,25,25,5,25,25,25,11,25,25,25,2,3,10,6,9
1041_0,10,25,9,6,25,25,2,8,11,14,3,25,25,12,25,1,7,25,25,15,13,25,5,4
1042_0,15,12,17,5,25,14,6,7,10,18,2,16,25,11,13,1,4,25,25,3,19,25,8,9
1043_0,10,15,14,25,25,25,7,6,12,11,2,25,25,9,8,1,5,25,25,25,4,13,25,3
1044_0,25,7,25,13,25,16,5,2,3,25,14,17,25,15,8,1,4,25,25,6,12,9,11,10
1045_0,10,25,18,4,25,14,9,7,13,25,17,11,25,15,3,1,12,25,25,5,2,6,16,8
1046_0,9,25,5,6,25,16,13,8,1,25,7,4,25,12,17,14,25,25,25,3,2,10,11,15
1047_0,8,17,25,13,25,4,9,7,14,19,18,11,25,12,15,3,5,25,25,6,1,16,10,2
1052_0,6,16,15,4,25,9,10,5,11,25,3,2,25,25,18,1,14,25,25,13,8,17,12,7
1053_0,4,16,15,3,25,17,8,11,13,25,25,1,25,10,12,2,25,25,25,9,5,7,14,6
1054_0,5,17,4,16,25,19,12,9,13,25,2,11,25,8,15,1,18,25,25,14,7,6,10,3
1055_0,4,19,13,8,25,25,11,5,12,18,3,2,25,17,16,1,14,25,25,9,7,10,15,6
1057_0,4,14,2,5,25,7,25,1,10,13,12,25,25,6,16,15,25,25,25,25,8,3,11,9
1058_0,5,16,12,25,25,18,8,4,11,25,3,1,25,9,10,2,17,25,25,14,6,7,15,13
1059_0,16,20,9,5,25,13,10,3,17,19,4,1,25,8,18,2,12,25,25,14,11,7,15,6
105_0,5,25,15,25,25,14,1,6,3,16,9,10,25,4,25,13,11,25,25,7,2,12,25,8
1061_0,4,18,25,12,25,17,13,16,15,25,3,6,25,7,10,1,14,25,25,8,9,2,11,5
1064_0,5,25,13,10,25,25,12,8,15,18,3,1,25,6,16,2,17,25,25,9,7,4,14,11
