copy_id,driver1_lap_01,driver2_lap_01,driver3_lap_01,driver4_lap_01,driver5_lap_01,driver6_lap_01,driver7_lap_01,driver8_lap_01,driver9_lap_01,driver10_lap_01,driver11_lap_01,driver12_lap_01,driver13_lap_01,driver14_lap_01,driver15_lap_01,driver16_lap_01,driver17_lap_01,driver18_lap_01,driver19_lap_01,driver20_lap_01,driver21_lap_01,driver22_lap_01,driver23_lap_01,driver24_lap_01,driver1_lap_02,driver2_lap_02,driver3_lap_02,driver4_lap_02,driver5_lap_02,driver6_lap_02,driver7_lap_02,driver8_lap_02,driver9_lap_02,driver10_lap_02,driver11_lap_02,driver12_lap_02,driver13_lap_02,driver14_lap_02,driver15_lap_02,driver16_lap_02,driver17_lap_02,driver18_lap_02,driver19_lap_02,driver20_lap_02,driver21_lap_02,driver22_lap_02,driver23_lap_02,driver24_lap_02,driver1_lap_03,driver2_lap_03,driver3_lap_03,driver4_lap_03,driver5_lap_03,driver6_lap_03,driver7_lap_03,driver8_lap_03,driver9_lap_03,driver10_lap_03,driver11_lap_03,driver12_lap_03,driver13_lap_03,driver14_lap_03,driver15_lap_03,driver16_lap_03,driver17_lap_03,driver18_lap_03,driver19_lap_03,driver20_lap_03,driver21_lap_03,driver22_lap_03,driver23_lap_03,driver24_lap_03,driver1_lap_04,driver2_lap_04,driver3_lap_04,driver4_lap_04,driver5_lap_04,driver6_lap_04,driver7_lap_04,driver8_lap_04,driver9_lap_04,driver10_lap_04,driver11_lap_04,driver12_lap_04,driver13_lap_04,driver14_lap_04,driver15_lap_04,driver16_lap_04,driver17_lap_04,driver18_lap_04,driver19_lap_04,driver20_lap_04,driver21_lap_04,driver22_lap_04,driver23_lap_04,driver24_lap_04,driver1_lap_05,driver2_lap_05,driver3_lap_05,driver4_lap_05,driver5_lap_05,driver6_lap_05,driver7_lap_05,driver8_lap_05,driver9_lap_05,driver10_lap_05,driver11_lap_05,driver12_lap_05,driver13_lap_05,driver14_lap_05,driver15_lap_05,driver16_lap_05,driver17_lap_05,driver18_lap_05,driver19_lap_05,driver20_lap_05,driver21_lap_05,driver22_lap_05,driver23_lap_05,driver24_lap_05,driver1_lap_06,driver2_lap_06,driver3_lap_06,driver4_lap_06,driver5_lap_06,driver6_lap_06,driver7_lap_06,driver8_lap_06,driver9_lap_06,driver10_lap_06,driver11_lap_06,driver12_lap_06,driver13_lap_06,driver14_lap_06,driver15_lap_06,driver16_lap_06,driver17_lap_06,driver18_lap_06,driver19_lap_06,driver20_lap_06,driver21_lap_06,driver22_lap_06,driver23_lap_06,driver24_lap_06,driver1_lap_07,driver2_lap_07,driver3_lap_07,driver4_lap_07,driver5_lap_07,driver6_lap_07,driver7_lap_07,driver8_lap_07,driver9_lap_07,driver10_lap_07,driver11_lap_07,driver12_lap_07,driver13_lap_07,driver14_lap_07,driver15_lap_07,driver16_lap_07,driver17_lap_07,driver18_lap_07,driver19_lap_07,driver20_lap_07,driver21_lap_07,driver22_lap_07,driver23_lap_07,driver24_lap_07,driver1_lap_08,driver2_lap_08,driver3_lap_08,driver4_lap_08,driver5_lap_08,driver6_lap_08,driver7_lap_08,driver8_lap_08,driver9_lap_08,driver10_lap_08,driver11_lap_08,driver12_lap_08,driver13_lap_08,driver14_lap_08,driver15_lap_08,driver16_lap_08,driver17_lap_08,driver18_lap_08,driver19_lap_08,driver20_lap_08,driver21_lap_08,driver22_lap_08,driver23_lap_08,driver24_lap_08,driver1_lap_09,driver2_lap_09,driver3_lap_09,driver4_lap_09,driver5_lap_09,driver6_lap_09,driver7_lap_09,driver8_lap_09,driver9_lap_09,driver10_lap_09,driver11_lap_09,driver12_lap_09,driver13_lap_09,driver14_lap_09,driver15_lap_09,driver16_lap_09,driver17_lap_09,driver18_lap_09,driver19_lap_09,driver20_lap_09,driver21_lap_09,driver22_lap_09,driver23_lap_09,driver24_lap_09,driver1_lap_10,driver2_lap_10,driver3_lap_10,driver4_lap_10,driver5_lap_10,driver6_lap_10,driver7_lap_10,driver8_lap_10,driver9_lap_10,driver10_lap_10,driver11_lap_10,driver12_lap_10,driver13_lap_10,driver14_lap_10,driver15_lap_10,driver16_lap_10,driver17_lap_10,driver18_lap_10,driver19_lap_10,driver20_lap_10,driver21_lap_10,driver22_lap_10,driver23_lap_10,driver24_lap_10
1000_0,13,17,3,14,25,9,18,12,4,25,15,16,25,11,6,1,19,25,25,7,2,8,5,10,13,17,3,14,25,9,18,12,4,25,15,16,25,11,6,1,19,25,25,7,2,8,5,10,13,17,3,14,25,9,18,12,4,25,16,15,25,11,6,1,19,25,25,7,2,8,5,10,13,17,3,15,25,9,18,12,4,25,16,14,25,11,6,1,19,25,25,7,2,8,5,10,13,17,3,15,25,9,18,12,4,25,16,14,25,11,6,1,19,25,25,7,2,8,5,10,13,16,3,14,25,8,18,11,4,25,15,12,25,10,5,1,17,25,25,6,2,7,25,9,13,16,3,14,25,8,18,10,4,25,15,12,25,11,5,1,17,25,25,6,2,7,25,9,13,16,3,14,25,8,18,10,4,25,15,12,25,11,5,1,17,25,25,6,2,7,25,9,13,16,3,14,25,8,18,10,4,25,15,11,25,12,5,1,17,25,25,6,2,7,25,9,13,16,3,14,25,8,18,10,4,25,15,11,25,12,5,1,17,25,25,6,2,7,25,9
1000_2,25,8,9,19,14,6,11,4,25,13,12,25,15,16,10,17,7,5,25,25,1,2,3,18,25,8,9,19,14,6,11,4,25,13,12,25,15,16,10,17,7,5,25,25,1,2,3,18,25,8,9,19,14,6,11,4,25,13,12,25,16,15,10,17,7,5,25,25,1,2,3,18,25,8,9,19,15,6,11,4,25,13,12,25,16,14,10,17,7,5,25,25,1,2,3,18,25,8,9,19,15,6,11,4,25,13,12,25,16,14,10,17,7,5,25,25,1,2,3,18,25,7,8,17,14,5,10,4,25,13,11,25,15,12,9,16,6,25,25,25,1,2,3,18,25,7,8,17,14,5,11,4,25,13,10,25,15,12,9,16,6,25,25,25,1,2,3,18,25,7,8,17,14,5,11,4,25,13,10,25,15,12,9,16,6,25,25,25,1,2,3,18,25,7,8,17,14,5,12,4,25,13,10,25,15,11,9,16,6,25,25,25,1,2,3,18,25,7,8,17,14,5,12,4,25,13,10,25,15,11,9,16,6,25,25,25,1,2,3,18
1001_1,25,2,25,15,8,10,6,4,5,3,14,12,25,17,1,7,25,25,25,16,25,11,13,9,25,2,25,14,8,10,6,4,5,3,13,17,25,15,1,7,25,25,25,16,25,11,12,9,25,2,25,16,8,10,6,4,5,3,13,17,25,14,1,7,25,25,25,15,25,11,12,9,25,2,25,16,8,10,6,4,5,3,13,17,25,14,1,7,25,25,25,15,25,11,12,9,25,2,25,14,8,9,6,4,5,3,13,17,25,15,1,7,25,25,25,16,25,11,12,10,25,2,25,14,8,9,6,4,5,3,12,17,25,15,1,7,25,25,25,16,25,11,13,10,25,2,25,13,8,10,6,5,4,3,12,17,25,16,1,7,25,25,25,15,25,11,14,9,25,2,25,13,8,10,6,5,4,3,12,17,25,16,1,7,25,25,25,15,25,11,14,9,25,2,25,12,8,10,6,5,4,3,13,16,25,25,1,7,25,25,25,15,25,11,14,9,25,2,25,12,8,10,6,5,3,4,13,16,25,25,1,7,25,25,25,15,25,11,14,9
1002_0,15,9,18,7,25,14,19,5,1,25,13,17,25,10,11,2,8,25,25,12,4,6,3,16,15,9,18,7,25,14,19,5,1,25,13,17,25,10,11,2,8,25,25,12,4,6,3,16,15,9,18,7,25,14,19,5,1,25,13,17,25,10,11,2,8,25,25,12,4,6,3,16,14,9,17,7,25,13,18,5,1,25,12,16,25,10,11,2,8,25,25,19,4,6,3,15,17,9,16,7,25,13,18,5,1,25,12,15,25,10,11,2,8,25,25,19,4,6,3,14,17,9,15,7,25,13,18,5,1,25,11,14,25,10,12,2,8,25,25,19,4,6,3,16,17,9,15,7,25,13,18,5,1,25,11,14,25,10,12,2,8,25,25,19,4,6,3,16,17,9,15,7,25,12,18,5,1,25,10,14,25,11,13,2,8,25,25,19,4,6,3,16,16,9,12,7,25,13,17,5,1,25,10,14,25,18,11,2,8,25,25,19,4,6,3,15,16,9,11,7,25,14,17,5,1,25,10,13,25,25,12,2,8,25,25,18,4,6,3,15
1002_1,25,2,25,13,7,11,18,6,12,5,19,16,14,10,1,17,25,25,9,3,25,15,8,4,25,2,25,13,7,11,18,6,12,5,19,16,14,10,1,17,25,25,9,3,25,15,8,4,25,2,25,13,7,11,18,6,12,5,19,16,14,10,1,17,25,25,9,3,25,15,8,4,25,2,25,12,7,11,17,6,19,5,18,15,13,10,1,16,25,25,9,3,25,14,8,4,25,2,25,12,7,11,16,6,19,5,18,14,13,10,1,15,25,25,9,3,25,17,8,4,25,2,25,11,7,12,15,6,19,5,18,16,13,10,1,14,25,25,9,3,25,17,8,4,25,2,25,11,7,12,15,6,19,5,18,16,13,10,1,14,25,25,9,3,25,17,8,4,25,2,25,10,7,13,15,6,19,5,18,16,12,11,1,14,25,25,9,3,25,17,8,4,25,2,25,10,7,11,12,6,19,5,17,15,13,18,1,14,25,25,9,3,25,16,8,4,25,2,25,10,7,12,11,6,18,5,17,15,14,25,1,13,25,25,9,3,25,16,8,4
1002_2,25,6,14,8,7,11,10,1,25,15,5,25,13,17,16,9,12,3,25,25,2,4,18,19,25,6,14,8,7,11,10,1,25,15,5,25,13,17,16,9,12,3,25,25,2,4,18,19,25,6,14,8,7,11,10,1,25,15,5,25,13,17,16,9,12,3,25,25,2,4,18,19,25,6,13,8,7,11,10,1,25,14,5,25,12,16,15,9,19,3,25,25,2,4,17,18,25,6,13,8,7,11,10,1,25,17,5,25,12,15,14,9,19,3,25,25,2,4,16,18,25,6,13,8,7,12,10,1,25,17,5,25,11,14,16,9,19,3,25,25,2,4,15,18,25,6,13,8,7,12,10,1,25,17,5,25,11,14,16,9,19,3,25,25,2,4,15,18,25,6,12,8,7,13,11,1,25,17,5,25,10,14,16,9,19,3,25,25,2,4,15,18,25,6,13,8,7,11,18,1,25,16,5,25,10,14,15,9,19,3,25,25,2,4,12,17,25,6,14,8,7,12,25,1,25,16,5,25,10,13,15,9,18,3,25,25,2,4,11,17
1003_0,18,17,2,19,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,18,17,2,19,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11,17,19,2,18,25,13,14,8,5,25,7,6,25,9,16,1,12,25,25,15,4,10,3,11
1003_1,25,1,25,7,19,16,2,10,15,8,14,11,13,9,5,6,25,25,17,3,25,18,12,4,25,1,25,7,19,16,2,10,15,8,14,11,13,9,5,6,25,25,17,3,25,18,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4,25,1,25,7,18,16,2,10,15,8,14,11,13,9,5,6,25,25,19,3,25,17,12,4
1003_2,25,10,13,12,19,16,9,5,25,18,8,25,7,6,11,17,15,3,25,25,1,4,2,14,25,10,13,12,19,16,9,5,25,18,8,25,7,6,11,17,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14,25,10,13,12,18,16,9,5,25,17,8,25,7,6,11,19,15,3,25,25,1,4,2,14
1004_0,17,6,3,7,25,19,10,9,4,15,8,18,25,16,20,2,14,25,25,5,1,11,13,12,18,5,3,7,25,19,10,9,4,15,8,16,25,17,20,2,14,25,25,6,1,12,11,13,18,5,3,7,25,20,11,10,4,16,8,14,25,17,19,2,15,25,25,6,1,12,9,13,18,5,3,7,25,20,11,10,4,16,9,13,25,17,19,2,15,25,25,6,1,12,8,14,17,5,3,8,25,25,11,10,4,16,9,12,25,18,25,2,15,25,25,6,1,13,7,14,17,5,3,8,25,25,11,10,4,16,9,12,25,18,25,2,15,25,25,7,1,14,6,13,15,5,3,8,25,25,11,10,4,16,9,12,25,18,25,2,17,25,25,7,1,14,6,13,15,6,3,8,25,25,10,14,4,16,9,11,25,17,25,2,18,25,25,7,1,13,5,12,14,6,3,7,25,25,11,16,4,15,8,10,25,17,25,2,18,25,25,9,1,13,5,12,14,6,3,8,25,25,11,15,4,17,7,9,25,16,25,2,18,25,25,13,1,12,5,10
